Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
01-06-2022,"Mitchell, Martin and Johnson",Transaction Account,Personal,Clothing,Give smile argue finally.,257.38,,34827.59,Pretty minute good former ahead.
10-03-2023,Oneal-Boone,Transaction Account,Transportation,Parking & Tolls,Pretty minute seek measure.,29.16,,37154.14,Short station response argue.
17-02-2023,Guzman-Perkins,Transaction Account,Education,Stationery,Leave amount attack speak wrong city professional senior.,126.71,,23519.6,Reach early speech.
21-12-2022,"Smith, Sanders and Watts",Transaction Account,Education,Stationery,Choose simply modern off water center pretty woman.,352.76,,25027.57,White information among performance.
14-06-2022,"Jacobs, Burns and Castro",Transaction Account,Home,Furnishings,Significant final executive cause hope.,782.17,,46640.22,Deal authority page different certain American.
28-04-2023,Ellison and Sons,Transaction Account,Health & Medical,Pharmacies,Political list everybody feel.,20.77,,20997.59,Rock coach current democratic.
10-02-2023,Mitchell-Thomas,Transaction Account,Travel,Tours & Cruises,Gas outside green not explain although.,236.53,,38180.0,Recent positive tell win.
18-06-2022,Smith and Sons,Transaction Account,Education,Stationery,Describe start cut dinner right writer various.,325.6,,41808.94,Management natural sea with small.
08-05-2023,"Walker, Hammond and Schneider",Transaction Account,Food & Drink,Groceries,During discover first will perhaps goal offer.,87.83,,13221.13,Article charge dark not hospital theory ability both.
26-05-2023,Espinoza-Holder,Transaction Account,Leisure,Movies,Start sound word opportunity foreign.,265.99,,24120.59,Large worry certainly beat theory among.
19-03-2023,"Vargas, Fry and Patrick",Transaction Account,Leisure,Dance,More fund red seven loss item always.,396.67,,45984.47,Change relationship go suggest.
24-03-2023,Johnson-Schneider,Transaction Account,Technology,Software,Evidence say range example process time by.,250.17,,23036.18,Value space talk artist better suffer style.
05-04-2023,Jensen-Ray,Transaction Account,Health & Medical,Pharmacies,Interest a clearly today.,458.68,,38992.39,Oil operation result occur much raise often.
02-04-2023,Ward-Perez,Transaction Account,Home,Furnishings,Tough determine thus must side lead turn can.,772.38,,28277.29,Own scene between where compare minute religious.
29-07-2022,Weaver PLC,Transaction Account,Financial,Cash Withdrawals,Behind less movement national.,178.45,,31517.7,Woman top foot about thought realize.
13-11-2022,Barajas-Rodgers,Transaction Account,Health & Medical,Eyes,Others support much member building.,280.56,,10440.84,It oil turn his.
30-01-2023,"Clark, Pratt and Branch",Transaction Account,Utilities,Phone,Act choose apply too prepare chair local.,328.52,,42661.44,Adult about outside down American boy.
26-01-2023,Brown and Sons,Transaction Account,Education,Stationery,Cup cover small lawyer likely number thousand.,438.32,,28223.53,Only hear might seek.
16-03-2023,Morales-Brown,Transaction Account,Income,Salary,Support writer view leader.,,747.62,27350.87,South west process hold hand perform.
30-01-2023,Fields LLC,Transaction Account,Transportation,Fuel,Expect one heart debate have.,752.02,,38365.62,Radio fly couple loss.
31-12-2022,Phelps Inc,Transaction Account,Transportation,Public Transit,Maintain can treatment report.,173.32,,18061.58,Play family create determine customer sort.
04-12-2022,"Singh, Gomez and Robbins",Transaction Account,Travel,Flights,Mind case physical run company.,123.26,,37705.16,Read position organization argue history.
07-03-2023,Sullivan-Mitchell,Transaction Account,Insurance,Financial Insurance,Policy toward authority save my.,498.86,,38894.84,Against treat not must.
12-09-2022,Stephens Inc,Transaction Account,Utilities,Phone,Nation name live TV project carry.,681.54,,17075.01,Leg quality apply information music.
01-10-2022,Thompson Ltd,Transaction Account,Travel,Flights,Inside finish decision loss show.,553.72,,37443.41,Serious lawyer old loss state.
08-03-2023,Yoder Ltd,Transaction Account,Health & Medical,Pharmacies,Police indeed find purpose together every.,122.66,,28094.88,Expect white between get mind ball.
05-10-2022,"Greene, Lutz and Riley",Transaction Account,Personal,Other Personal Expenses,Hour pay player enough near shoulder.,45.48,,37240.77,Bank professor much board.
09-03-2023,Anderson-Schmitt,Transaction Account,Financial,Cash Withdrawals,Around who understand share interesting.,448.46,,12550.71,Seek set politics past pass time.
31-07-2022,"Green, Jones and Jimenez",Transaction Account,Services,Marketing,Program hospital mind building recently professional your.,796.89,,33695.65,Later story better blue among bill why.
09-04-2023,Rivers Inc,Transaction Account,Food & Drink,Fast Food,Its teacher our indeed stage door that road.,334.93,,15651.58,Miss financial east generation more hear.
01-01-2023,Boyer LLC,Transaction Account,Health & Medical,Other Health Expenses,Center phone plant reduce force success individual.,210.25,,18291.98,Born week few seek yes conference.
21-08-2022,Torres and Sons,Transaction Account,Financial,Transfers,Part TV idea kind involve head national.,734.58,,25109.79,May support group beautiful five herself assume.
22-01-2023,"Stewart, Roach and Williams",Transaction Account,Home,Furnishings,Forward difficult mean across offer.,268.47,,16278.79,Picture experience region community.
23-12-2022,Bradford-Stokes,Transaction Account,Services,Marketing,Four perform event.,5.53,,27764.0,Collection kind anyone green thank.
10-12-2022,"Long, Hicks and Mills",Transaction Account,Health & Medical,Pharmacies,List back police number budget food.,28.06,,24267.9,Government rest plant understand citizen agreement finally.
07-11-2022,Christensen-Marsh,Transaction Account,Education,Stationery,Economy the record responsibility central watch blood.,171.49,,16408.15,Walk citizen cup thank.
30-04-2023,Phillips-Hurley,Transaction Account,Leisure,Dance,Organization enjoy former travel.,738.23,,12598.28,Hit interesting hear economic another.
22-08-2022,"Brock, Vasquez and Scott",Transaction Account,Insurance,Financial Insurance,Base possible almost assume total.,157.18,,17958.0,Marriage company market general set not house.
30-06-2022,Soto Group,Transaction Account,Health & Medical,Eyes,Loss laugh light fine executive.,246.67,,23602.59,Course sit before cut like.
25-07-2022,Bell-Hernandez,Transaction Account,Personal,Other Personal Expenses,Race wait around home responsibility two country.,407.77,,34140.13,Reason now risk couple.
08-02-2023,Mccormick-Brown,Transaction Account,Financial,Transfers,Fish audience second couple answer hear.,428.54,,21362.58,Wait two by look.
16-06-2022,"Ware, Smith and Ortiz",Transaction Account,Utilities,Phone,Former natural somebody wonder.,337.64,,38692.85,Before line give knowledge individual.
30-12-2022,Garcia Inc,Transaction Account,Personal,Clothing,Walk sell morning teacher believe.,698.81,,17567.42,Road story where.
12-10-2022,Berg Group,Transaction Account,Technology,Online Services,Minute be night certain language easy quickly.,161.08,,28265.25,Watch choose represent blue way choice kid.
27-05-2022,Mcmahon and Sons,Transaction Account,Services,Government,Along until often hard.,147.74,,30563.35,True off can source cover picture activity.
24-07-2022,Wheeler-Kaufman,Transaction Account,Food & Drink,Restaurants,Yeah would great event.,155.75,,44274.24,Myself wait rich building system join.
30-09-2022,Rogers-Mcdonald,Transaction Account,Leisure,Dance,Present table any move role south whatever.,568.56,,20512.39,Our stock save dog.
29-08-2022,Russell-Bailey,Transaction Account,Income,Salary,Put plant fly class community whom our.,,858.95,12458.97,Such thousand seat beautiful outside.
22-05-2023,Hernandez-Graves,Transaction Account,Gifts & Donations,Gifts,More eight government great different bring assume summer.,543.62,,36186.42,Pm sport most leader suffer current before.
13-01-2023,Flynn Group,Transaction Account,Financial,Direct Debits,Memory food tough.,1.81,,19701.27,Couple grow door machine sort budget early.
17-01-2023,"Bernard, Miller and Barnett",Transaction Account,Technology,Software,Significant language leg enough.,116.23,,40341.29,Blue name leg behind certainly.
07-05-2023,"Crawford, Flynn and Hardin",Transaction Account,Travel,Tours & Cruises,Specific put offer source.,543.89,,20698.67,Picture specific east leave lot.
07-03-2023,Rollins Ltd,Transaction Account,Education,Stationery,Can season contain quality term detail case.,520.11,,30665.11,Coach side special author own shoulder trip.
05-02-2023,Gaines-Nelson,Transaction Account,Utilities,Pay TV,Try believe want trade top economy picture become.,121.47,,32238.7,Start easy trade ready sign.
19-09-2022,Robertson-Gutierrez,Transaction Account,Utilities,Pay TV,Special away us source per have glass.,393.97,,41756.06,Today national natural have.
30-12-2022,Gomez-Osborn,Transaction Account,Gifts & Donations,Gifts,Chance mission project third economic reduce with miss.,58.89,,27839.69,Door suffer and another administration.
06-01-2023,Collier Ltd,Transaction Account,Transportation,Public Transit,Listen human guess ever themselves red everything.,169.93,,23626.76,Wrong lay option it answer.
09-08-2022,"Howard, Hardin and Beck",Transaction Account,Travel,Accommodation,Surface lay recently spend offer.,44.86,,48895.11,My item contain find.
02-08-2022,"Spencer, Cordova and Dixon",Transaction Account,Education,Stationery,Finally might leg agent.,14.63,,27655.41,Daughter throw off reality point resource.
21-11-2022,"Gates, Anderson and Gonzalez",Transaction Account,Utilities,"Electricity, Gas & Water",Various part final message never indicate.,749.07,,42858.0,Would end send.
03-08-2022,Mendoza-Deleon,Transaction Account,Services,Marketing,Myself field plant quite sit.,599.11,,18488.7,Discussion fall pressure successful.
08-02-2023,Guzman and Sons,Transaction Account,Leisure,Games,Leave even painting off.,713.02,,37963.08,Letter artist week let oil place.
25-09-2022,Singh Inc,Transaction Account,Education,Stationery,Local within energy use house magazine.,156.03,,42873.24,Institution care education front.
05-12-2022,Wilkins Group,Transaction Account,Services,Government,Among list clear lose.,356.69,,13198.74,Together on create respond summer husband chance.
07-02-2023,Fletcher Inc,Transaction Account,Home,Furnishings,Put similar remain.,44.96,,19476.99,While resource than nation throw anything point some.
03-04-2023,Davis Inc,Transaction Account,Transportation,Fuel,Rest since explain believe.,548.72,,16100.24,From build adult every at relate amount.
09-12-2022,"Johnson, Young and Bailey",Transaction Account,Health & Medical,Pharmacies,Candidate party risk natural language plan.,322.48,,19136.08,A maybe maybe in what remain.
03-11-2022,Flynn-Russell,Transaction Account,Food & Drink,Other Food Expenses,Laugh two other common else area write.,680.36,,47175.96,Daughter moment law huge stay while individual.
01-01-2023,"Aguirre, Edwards and Martinez",Transaction Account,Financial,Transfers,Result could instead force successful another.,82.6,,19252.38,Evidence smile practice response suggest.
30-11-2022,Sullivan Ltd,Transaction Account,Financial,Transfers,Cost during appear hundred soldier worry.,678.75,,10547.69,Image price break win service.
18-11-2022,Sanchez Group,Transaction Account,Income,Salary,North senior per lay down.,,970.58,37715.25,Economic reflect a.
20-01-2023,"Gamble, Davenport and Richardson",Transaction Account,Gifts & Donations,Gifts,Single may product necessary improve.,164.04,,18991.27,Professor no with class.
11-12-2022,"Kelly, Norris and Johnston",Transaction Account,Technology,Hardware,Possible across of anything.,30.23,,14275.78,Threat staff it reality challenge want leg.
10-02-2023,Fisher-Gonzales,Transaction Account,Gifts & Donations,Gifts,Pick offer space a some accept stock.,687.83,,10590.33,Board when win live.
25-12-2022,"Santos, Vaughan and Garcia",Transaction Account,Personal,Clothing,Congress concern strategy head side growth.,147.42,,37641.05,Door amount wind green national herself result.
25-12-2022,Booth Inc,Transaction Account,Leisure,Fun,Later nothing within behind control common least.,568.74,,41235.47,Phone lose benefit someone left expert at article.
22-08-2022,Novak-Hunter,Transaction Account,Home,Furnishings,Guy return speak crime social no.,261.3,,37548.01,Laugh partner wear move edge.
22-09-2022,Sharp-Houston,Transaction Account,Food & Drink,Groceries,Interview place to hand family.,11.76,,26727.78,Quite live speech time cover bank idea.
02-06-2022,"Wall, Williams and Ryan",Transaction Account,Utilities,Pay TV,Control half before mission public use.,781.11,,49022.46,Green million attack order situation.
15-04-2023,"Ramirez, Moore and Smith",Transaction Account,Education,Stationery,Exactly way area certain instead deep eight.,404.61,,40847.11,Most meet friend on public.
29-03-2023,Morris Inc,Transaction Account,Services,Marketing,Itself pretty hotel herself majority.,226.58,,31696.58,Social rate degree deal of.
22-11-2022,"Jensen, Martinez and Estes",Transaction Account,Utilities,"Electricity, Gas & Water",Hope recently me necessary.,32.57,,15481.47,Night available prove crime prevent until.
12-09-2022,"Hale, Morgan and Wiggins",Transaction Account,Transportation,Parking & Tolls,Begin forget end.,163.8,,21058.11,Special those role newspaper crime development.
04-08-2022,Mann LLC,Transaction Account,Services,Government,Particular city yeah worker.,295.97,,19571.68,Power step sound and.
29-07-2022,"Rose, Barton and Ward",Transaction Account,Travel,Travel Entertainment,Lot edge let.,250.1,,24225.52,Notice someone film quite people.
18-10-2022,"Durham, Calderon and James",Transaction Account,Utilities,"Electricity, Gas & Water",Fight partner drive staff pull.,298.45,,49092.04,Model individual section season usually late.
16-07-2022,Chavez-Harrison,Transaction Account,Financial,Transfers,Discussion almost state church.,376.34,,41373.27,Group specific value require no keep relate.
09-11-2022,"Patrick, Warren and Rodriguez",Transaction Account,Transportation,Parking & Tolls,Risk source later side become.,489.21,,38634.01,Best candidate rock simply.
13-08-2022,Hunt-Chambers,Transaction Account,Financial,Cash Withdrawals,Ask response media decision.,441.84,,42516.61,Agency lot technology bag cost out customer hear.
26-02-2023,Soto Inc,Transaction Account,Services,Marketing,Such above member case town score husband.,436.69,,20191.08,Down cost person southern low end daughter.
02-09-2022,White-Lam,Transaction Account,Home,Furnishings,Goal theory address win group will.,133.61,,14660.47,Third outside music town research.
08-01-2023,"Jones, Fleming and Santiago",Transaction Account,Technology,Hardware,Agency person into machine rule.,94.81,,25196.53,Ago father politics agency left degree police.
31-07-2022,Moore Group,Transaction Account,Income,Salary,Provide make recognize make.,,950.69,37249.44,Drop everything bad middle.
26-01-2023,"Allen, Crawford and Mcintosh",Transaction Account,Income,Salary,Size throughout left program consider pull people.,,552.85,39120.98,Mrs generation late until seat recent.
11-05-2023,Crawford Ltd,Transaction Account,Travel,Travel Entertainment,Any among yourself participant leave important matter.,739.53,,17763.05,Military increase agency bit conference matter cause spend.
23-12-2022,"Rogers, Beck and Burton",Transaction Account,Food & Drink,Fast Food,Family event available light majority.,605.04,,11580.89,Fall particularly imagine discuss ball strategy tree.
12-04-2023,"Hansen, Carey and Shaw",Transaction Account,Transportation,Public Transit,Crime Mrs wind factor official.,499.92,,20008.82,Memory be arm six.
17-05-2023,"Powers, Cortez and Davidson",Transaction Account,Technology,Software,Age step both know any simple continue.,751.29,,34226.25,Although of drug hope.
25-08-2022,"York, Allen and Jenkins",Transaction Account,Gifts & Donations,Gifts,Ground technology north contain really trip.,635.85,,26777.68,Check too bar painting ago time.
12-10-2022,Hernandez PLC,Transaction Account,Financial,Transfers,Our enough could officer.,26.27,,46253.51,Morning weight necessary ahead message get.
12-04-2023,"Franco, Riddle and Williams",Transaction Account,Transportation,Parking & Tolls,Art religious keep off.,427.4,,13473.37,May increase floor sort ever notice today do.
12-09-2022,Jones-West,Transaction Account,Health & Medical,Pharmacies,Easy network production activity.,643.8,,40647.7,Face occur create fear discussion data senior.
17-02-2023,Gomez Group,Transaction Account,Health & Medical,Pharmacies,Short kind remember something.,226.94,,21632.85,Glass woman many total.
18-01-2023,Irwin LLC,Transaction Account,Education,Stationery,Peace mind coach beat way rock mission attack.,163.91,,49667.4,Pick conference material test.
09-04-2023,"Moran, Lopez and Kennedy",Transaction Account,Utilities,Pay TV,Size air others knowledge discussion.,532.25,,16787.98,No against western pick similar.
20-05-2023,Henry PLC,Transaction Account,Insurance,Financial Insurance,Ready different see provide community must pretty.,466.07,,43758.17,Matter box bill evidence share.
20-04-2023,Evans-Mendoza,Transaction Account,Gifts & Donations,Gifts,Thought after nature.,287.12,,26892.03,Technology scientist lawyer may gun establish wide.
20-06-2022,Wallace-Johnson,Transaction Account,Utilities,Pay TV,Especially above give blood society writer.,555.06,,38312.46,Person plan economy old see color gas.
01-10-2022,Molina Ltd,Transaction Account,Income,Salary,Arm official process coach lay to but.,,690.78,49705.59,Low just family knowledge stop.
02-06-2022,Goodwin Ltd,Transaction Account,Home,Furnishings,Often know word card.,302.66,,31126.9,Arrive eight ago.
13-02-2023,Chandler-Patel,Transaction Account,Technology,Online Services,Though benefit myself itself.,777.16,,16010.01,Why physical success money author.
29-07-2022,Dean-Lane,Transaction Account,Insurance,Financial Insurance,Involve hot show idea.,722.3,,21425.99,Light show political throw wonder ahead detail senior.
02-12-2022,Hunt-Gallegos,Transaction Account,Health & Medical,Pharmacies,Home above teach world not job carry.,67.72,,30925.33,Author present generation all thus bar act.
04-12-2022,Chandler Group,Transaction Account,Travel,Tours & Cruises,Course already wind interesting wind citizen before.,774.6,,30984.89,Free political mention usually.
28-04-2023,Blackburn PLC,Transaction Account,Income,Salary,Member those north hold interesting half.,,839.67,30400.36,Store suddenly American ahead system way style.
17-03-2023,"Dunn, Salas and Mcmillan",Transaction Account,Food & Drink,Groceries,Memory second top wait.,586.33,,34669.68,Make dinner prepare allow mother support.
09-07-2022,Nichols PLC,Transaction Account,Services,Government,A truth similar born computer relationship term.,734.55,,19339.49,Think suddenly pressure listen husband eye.
20-11-2022,Gardner PLC,Transaction Account,Insurance,Financial Insurance,Two billion tell field remember.,58.77,,46828.81,Structure decision together design course appear low.
24-11-2022,Cruz PLC,Transaction Account,Technology,Online Services,Base end fast executive expect plant chair set.,210.37,,12390.95,Bill without ask fund play any rule.
17-09-2022,Bright-Roberts,Transaction Account,Utilities,"Electricity, Gas & Water",On trade black although.,425.78,,31702.19,Game stop prove.
31-07-2022,Evans Group,Transaction Account,Personal,Clothing,Alone federal without leader single trouble worry.,573.38,,33963.91,Third public sign community blood million too.
08-07-2022,Padilla-Holder,Transaction Account,Leisure,Games,Soldier lay front late ability key.,524.32,,39596.7,Full bad discover hear know as cover.
27-01-2023,"Ramos, Perry and Miller",Transaction Account,Food & Drink,Fast Food,Finish character turn experience.,756.7,,42047.35,Develop response voice common be office.
17-09-2022,"Rivers, Pena and Carroll",Transaction Account,Gifts & Donations,Gifts,Method road first more.,732.61,,32201.69,Hundred push could where training table.
25-10-2022,Williams-Mann,Transaction Account,Gifts & Donations,Gifts,Leave fish debate miss.,408.25,,19873.34,Move few story dinner skin do bad.
17-08-2022,"Ayala, Watkins and Jimenez",Transaction Account,Education,Stationery,Protect possible up serve understand far space interesting.,597.5,,33590.95,Public task floor nearly.
10-01-2023,Austin-Johnson,Transaction Account,Utilities,Pay TV,More economy response tree whom plan culture.,682.17,,31898.87,Along green into rest material series government Congress.
02-11-2022,Boyd LLC,Transaction Account,Insurance,Financial Insurance,That require agree born carry.,431.16,,49730.73,Seek development culture top matter.
03-01-2023,"Norton, Rodriguez and Johnson",Transaction Account,Education,Stationery,Special course country type without instead again question.,177.5,,31831.95,Ok operation hotel heavy run.
09-02-2023,Savage Ltd,Transaction Account,Health & Medical,Eyes,Ability fight southern.,68.15,,44533.1,Because through save opportunity foreign response.
28-01-2023,"Jackson, Wiley and Richardson",Transaction Account,Home,Furnishings,Serious light sign lay former oil according.,142.87,,24237.43,At product energy need buy player.
08-04-2023,Wilson-Wright,Transaction Account,Gifts & Donations,Gifts,Hear spend suddenly suddenly fire.,419.34,,21893.56,Participant important assume art know.
17-10-2022,Fernandez-Smith,Transaction Account,Leisure,Music,Away many surface.,755.99,,34937.87,Step question whether brother teacher threat behind.
08-04-2023,Landry-Boyd,Transaction Account,Personal,Clothing,Respond treat pick until politics one.,357.93,,45668.82,Smile change bed less vote one establish.
25-06-2022,Bryant Inc,Transaction Account,Food & Drink,Groceries,Travel nature technology couple other.,175.51,,44205.21,Sense ready various nice service environmental.
07-11-2022,"Williams, Cunningham and Brown",Transaction Account,Personal,Clothing,Will other ground join set scientist network.,402.99,,37020.47,Only politics land memory upon.
06-04-2023,Cunningham Group,Transaction Account,Travel,Accommodation,Strategy method key whether prove.,784.39,,11078.17,Shake strategy list consumer several either because live.
22-12-2022,"Sweeney, Boyd and Hudson",Transaction Account,Travel,Travel Entertainment,Degree full everything every.,673.36,,25580.61,Seat everybody citizen wonder.
10-12-2022,Murphy-Newman,Transaction Account,Transportation,Taxis,Sign successful least respond debate several hospital.,635.26,,38182.62,Every risk cost develop increase and a up.
24-07-2022,Moore-Rosales,Transaction Account,Travel,Flights,Fine professor summer player.,618.17,,13617.78,Mother morning Mrs partner help ago natural.
23-02-2023,Hill LLC,Transaction Account,Insurance,Financial Insurance,Fish six somebody food simply smile series remain.,618.26,,40807.18,Successful training our new up themselves.
13-07-2022,Walters-Benjamin,Transaction Account,Insurance,Financial Insurance,Speak truth high only.,605.06,,29450.29,Way let response he nor guess again.
16-05-2023,"Austin, Powell and Romero",Transaction Account,Insurance,Financial Insurance,Well certain although along officer increase.,159.53,,19668.55,Debate table movie sometimes maybe fund book wish.
27-10-2022,Moore LLC,Transaction Account,Insurance,Financial Insurance,Attention relate knowledge player five investment degree interesting.,666.39,,18376.64,Mission bag clearly card father value loss time.
04-06-2022,"Turner, Castillo and Alexander",Transaction Account,Gifts & Donations,Gifts,One often become serve few first.,687.15,,29325.21,Sure phone very.
23-01-2023,Graham and Sons,Transaction Account,Services,Government,Four indicate yet relationship nature a decision.,374.87,,12129.18,Number free pay model power upon.
15-06-2022,Fuller-Moore,Transaction Account,Insurance,Financial Insurance,Understand arrive local himself window whatever place.,269.8,,16529.91,Reflect easy stuff write relate buy.
28-12-2022,Harvey PLC,Transaction Account,Utilities,Pay TV,Chance small machine point remember.,756.01,,46698.73,He live individual relationship adult.
23-04-2023,Newton-Chapman,Transaction Account,Income,Salary,Stuff nature husband.,,723.08,40476.13,Source either do in soon.
29-01-2023,"Espinoza, Harris and Campbell",Transaction Account,Leisure,Games,Say opportunity career boy attorney here character.,279.35,,41458.13,Significant sound recently call ok.
18-01-2023,"Carter, Taylor and Cunningham",Transaction Account,Financial,Direct Debits,Approach spring read cause least focus Democrat.,215.94,,36668.22,Should air newspaper series.
01-10-2022,Jones Group,Transaction Account,Personal,Other Personal Expenses,Space start audience difficult.,416.19,,20275.52,Her deep choose kitchen approach police cut.
02-10-2022,Scott-Burnett,Transaction Account,Insurance,Financial Insurance,Usually federal dinner front home.,190.29,,14723.32,Can play law someone.
07-07-2022,Torres-Conrad,Transaction Account,Technology,Hardware,Article put near matter send sense number.,619.17,,26256.96,Democrat early training key floor.
11-03-2023,"Reyes, Pena and Henson",Transaction Account,Travel,Travel Entertainment,Need industry charge situation.,540.63,,10395.83,Worker book forward tonight shake individual.
30-12-2022,Cochran LLC,Transaction Account,Leisure,Music,Research movie game.,637.3,,49816.54,Month meet and scene medical.
09-04-2023,Stewart Inc,Transaction Account,Home,Furnishings,Available four time wait best try increase scientist.,106.23,,40997.2,Represent save attack have.
05-01-2023,"Reed, Lindsey and Martin",Transaction Account,Services,Marketing,Hard employee remember mention somebody.,643.64,,46398.9,North dinner such several.
02-05-2023,Mosley-Simon,Transaction Account,Personal,Other Personal Expenses,Respond work act still lead trial adult.,737.82,,32421.65,Collection generation benefit score future lead teacher item.
11-09-2022,"Smith, Higgins and Peterson",Transaction Account,Insurance,Financial Insurance,Term address point you rock.,654.43,,15533.28,Gun even he think.
01-02-2023,Sanchez-Henderson,Transaction Account,Gifts & Donations,Gifts,Box whole too then.,718.05,,25988.68,Consumer eat know this nearly between federal local.
02-03-2023,Crane Ltd,Transaction Account,Income,Salary,Already near figure material everything.,,550.13,35182.91,Hair president I of day whose likely.
05-04-2023,"Scott, Johnston and Booker",Transaction Account,Leisure,Fun,Visit throw black store.,482.83,,32064.9,Me up majority.
15-02-2023,"Sullivan, Porter and Mullins",Transaction Account,Food & Drink,Fast Food,Painting even appear affect down interview leave.,771.97,,29953.35,Wish up thought measure picture still.
03-07-2022,Walker Ltd,Transaction Account,Transportation,Taxis,Admit raise relate try yeah goal.,155.04,,20256.28,Without individual meeting project new thought contain garden.
24-12-2022,Morgan-Kennedy,Transaction Account,Transportation,Parking & Tolls,Author soldier one party.,532.47,,41342.01,On spring that because.
15-02-2023,Johnson-Reyes,Transaction Account,Health & Medical,Other Health Expenses,Start conference four according imagine every certainly western.,401.49,,44533.71,Economic glass step decade seem center early.
01-10-2022,Lewis Group,Transaction Account,Leisure,Fun,Property here us night.,52.45,,13782.22,Mr some may have Mrs.
14-05-2023,"Myers, Carr and Webb",Transaction Account,Home,Furnishings,Marriage job argue.,659.12,,38229.29,Hair sort ago civil exist control.
30-11-2022,Young-Wright,Transaction Account,Health & Medical,Other Health Expenses,Newspaper event room remain last not fish.,790.69,,24284.62,Police situation last course beyond author name.
20-05-2023,Jacobs PLC,Transaction Account,Travel,Travel Entertainment,Able alone he wrong third paper your.,281.54,,33994.5,Collection call down sort.
12-04-2023,"Duncan, Jones and Meyer",Transaction Account,Financial,Cash Withdrawals,Enjoy interest couple TV.,678.5,,33140.84,Attorney especially option.
19-10-2022,Randall LLC,Transaction Account,Financial,Direct Debits,Reflect doctor sister tell agree.,505.1,,22796.94,Set race data our open over officer.
09-01-2023,Howard Inc,Transaction Account,Health & Medical,Pharmacies,Information prevent official suffer pressure operation.,649.44,,11132.36,Quite go send blue economic.
24-04-2023,Obrien and Sons,Transaction Account,Technology,Online Services,Outside what culture provide audience strong foreign.,578.89,,29263.9,Think cost son rest.
21-09-2022,Frank Inc,Transaction Account,Education,Stationery,Manager suggest ground crime phone soldier list.,3.72,,39830.59,Whether area let value.
05-07-2022,Perez-Castro,Transaction Account,Financial,Direct Debits,Probably member clear certainly affect.,645.65,,18990.88,Necessary contain course bar protect picture writer.
11-10-2022,Rodriguez-Thompson,Transaction Account,Food & Drink,Alcohol & Bars,Field feel must of spring line.,767.08,,21647.42,Full approach less major scientist through section.
15-11-2022,Jones-Harris,Transaction Account,Food & Drink,Fast Food,Change form outside stand tell.,260.54,,14261.81,Defense around way job and.
10-03-2023,"Robles, Ramirez and Rodriguez",Transaction Account,Travel,Tours & Cruises,Hotel which pretty perhaps Republican dark.,248.59,,12876.25,Interest media for.
28-12-2022,Moon Inc,Transaction Account,Leisure,Music,Help fast lawyer increase force.,203.38,,38657.03,Happy girl practice design evidence interesting top modern.
12-11-2022,Miller-Guerra,Transaction Account,Health & Medical,Eyes,Fly matter enough surface tough social result per.,550.97,,39576.8,Sound still oil list game read.
28-07-2022,Miller-Medina,Transaction Account,Travel,Accommodation,Social letter support western.,195.62,,24954.71,Support since indeed author near.
05-06-2022,Stephens Inc,Transaction Account,Gifts & Donations,Gifts,Official less institution.,580.92,,37852.42,Technology store during.
08-07-2022,Butler and Sons,Transaction Account,Travel,Tours & Cruises,Music stop force lose either.,168.1,,42896.28,Property simple community fast ten real option.
25-07-2022,Stephens and Sons,Transaction Account,Services,Government,Though free about me plant.,754.27,,18752.67,Be anything performance establish it current continue.
09-06-2022,"Hoffman, Freeman and Jimenez",Transaction Account,Technology,Hardware,Yard anyone pattern central offer.,266.88,,37558.53,Amount people act none push although memory.
04-09-2022,Stevens LLC,Transaction Account,Home,Furnishings,Recent consumer reason word trouble decide almost.,370.5,,32778.62,With between mean happy goal detail charge interest.
28-04-2023,"Gordon, Ball and Kline",Transaction Account,Health & Medical,Pharmacies,Reach open throughout gun establish.,306.49,,38750.11,Turn up father sea child father.
24-02-2023,"Webb, Hardy and Williams",Transaction Account,Income,Salary,Leader show enter reach camera baby.,,623.96,11454.35,Go big interest majority receive well challenge.
11-04-2023,Ware-Williams,Transaction Account,Transportation,Parking & Tolls,Family develop somebody.,169.51,,21505.9,Which artist leader especially single.
20-11-2022,Lopez Inc,Transaction Account,Utilities,Pay TV,Catch leave system change dinner instead.,89.79,,17785.68,Sit everyone thousand back.
02-07-2022,Parker-Obrien,Transaction Account,Education,Stationery,Speech foot decade bad order your.,115.28,,21707.67,Cost across son stay most gun whom.
15-12-2022,Anderson PLC,Transaction Account,Financial,Cash Withdrawals,Behind wide have western fact.,35.88,,17098.25,Standard card group memory.
12-09-2022,Gomez Group,Transaction Account,Travel,Accommodation,Study face join old.,509.39,,39121.61,Field this standard wonder use human.
12-11-2022,Miller Group,Transaction Account,Financial,Direct Debits,Control improve image kitchen music check.,493.41,,21032.4,Effort well moment weight color.
26-10-2022,Wilson Inc,Transaction Account,Technology,Online Services,Smile argue safe.,441.92,,19489.34,Against ahead mention on.
21-02-2023,Stark Group,Transaction Account,Transportation,Fuel,Company push or cup loss.,145.23,,45137.54,Keep short every sit.
19-10-2022,Thomas PLC,Transaction Account,Food & Drink,Fast Food,Sound try tend without position.,53.37,,23859.8,Vote help me improve paper day author.
20-05-2023,"Palmer, Davis and Noble",Transaction Account,Gifts & Donations,Gifts,Term west theory eye name shake.,394.79,,48146.11,Claim yet significant walk foot across.
